,season,id,name,short_name,home_team,away_team,home_captain,away_captain,venue_name,home_team_name,away_team_name
74,2022.0,1304047,Chennai Super Kings v Kolkata Knight Riders,CSK v KKR,CSK,KKR,Ravindra Jadeja,Shreyas Iyer,"Wankhede Stadium, Mumbai",Chennai Super Kings , Kolkata Knight Riders
75,2022.0,1304048,Delhi Capitals v Mumbai Indians,DC v MI,DC,MI,Rishabh Pant,Rohit Sharma,"Brabourne Stadium, Mumbai",Delhi Capitals , Mumbai Indians
76,2022.0,1304049,Punjab Kings v Royal Challengers Bangalore,PBKS v RCB,PBKS,RCB,Mayank Agarwal,Faf du Plessis,"Dr DY Patil Sports Academy, Navi Mumbai",Punjab Kings , Royal Challengers Bangalore
77,2022.0,1304050,Gujarat Titans v Lucknow Super Giants,GT v LSG,GT,LSG,Hardik Pandya,KL Rahul,"Wankhede Stadium, Mumbai",Gujarat Titans , Lucknow Super Giants
78,2022.0,1304051,Sunrisers Hyderabad v Rajasthan Royals,SRH v RR,SRH,RR,Kane Williamson,Sanju Samson,"Maharashtra Cricket Association Stadium, Pune",Sunrisers Hyderabad , Rajasthan Royals
79,2022.0,1304052,Royal Challengers Bangalore v Kolkata Knight Riders,RCB v KKR,RCB,KKR,Faf du Plessis,Shreyas Iyer,"Dr DY Patil Sports Academy, Navi Mumbai",Royal Challengers Bangalore , Kolkata Knight Riders
80,2022.0,1304053,Lucknow Super Giants v Chennai Super Kings,LSG v CSK,LSG,CSK,KL Rahul,Ravindra Jadeja,"Brabourne Stadium, Mumbai",Lucknow Super Giants , Chennai Super Kings
81,2022.0,1304054,Kolkata Knight Riders v Punjab Kings,KKR v PBKS,KKR,PBKS,Shreyas Iyer,Mayank Agarwal,"Wankhede Stadium, Mumbai",Kolkata Knight Riders , Punjab Kings
82,2022.0,1304055,Mumbai Indians v Rajasthan Royals,MI v RR,MI,RR,Rohit Sharma,Sanju Samson,"Dr DY Patil Sports Academy, Navi Mumbai",Mumbai Indians , Rajasthan Royals
83,2022.0,1304056,Gujarat Titans v Delhi Capitals,GT v DC,GT,DC,Hardik Pandya,Rishabh Pant,"Maharashtra Cricket Association Stadium, Pune",Gujarat Titans , Delhi Capitals
84,2022.0,1304057,Chennai Super Kings v Punjab Kings,CSK v PBKS,CSK,PBKS,Ravindra Jadeja,Mayank Agarwal,"Brabourne Stadium, Mumbai",Chennai Super Kings , Punjab Kings
85,2022.0,1304058,Sunrisers Hyderabad v Lucknow Super Giants,SRH v LSG,SRH,LSG,Kane Williamson,KL Rahul,"Dr DY Patil Sports Academy, Navi Mumbai",Sunrisers Hyderabad , Lucknow Super Giants
86,2022.0,1304059,Rajasthan Royals v Royal Challengers Bangalore,RR v RCB,RR,RCB,Sanju Samson,Faf du Plessis,"Wankhede Stadium, Mumbai",Rajasthan Royals , Royal Challengers Bangalore
87,2022.0,1304060,Kolkata Knight Riders v Mumbai Indians,KKR v MI,KKR,MI,Shreyas Iyer,Rohit Sharma,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders , Mumbai Indians
88,2022.0,1304061,Lucknow Super Giants v Delhi Capitals,LSG v DC,LSG,DC,KL Rahul,Rishabh Pant,"Dr DY Patil Sports Academy, Navi Mumbai",Lucknow Super Giants , Delhi Capitals
89,2022.0,1304062,Punjab Kings v Gujarat Titans,PBKS v GT,PBKS,GT,Mayank Agarwal,Hardik Pandya,"Brabourne Stadium, Mumbai",Punjab Kings , Gujarat Titans
90,2022.0,1304063,Chennai Super Kings v Sunrisers Hyderabad,CSK v SRH,CSK,SRH,Ravindra Jadeja,Kane Williamson,"Dr DY Patil Sports Academy, Navi Mumbai",Chennai Super Kings , Sunrisers Hyderabad
91,2022.0,1304064,Royal Challengers Bangalore v Mumbai Indians,RCB v MI,RCB,MI,Faf du Plessis,Rohit Sharma,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore , Mumbai Indians
92,2022.0,1304065,Kolkata Knight Riders v Delhi Capitals,KKR v DC,KKR,DC,Shreyas Iyer,Rishabh Pant,"Brabourne Stadium, Mumbai",Kolkata Knight Riders , Delhi Capitals
93,2022.0,1304066,Rajasthan Royals v Lucknow Super Giants,RR v LSG,RR,LSG,Sanju Samson,KL Rahul,"Wankhede Stadium, Mumbai",Rajasthan Royals , Lucknow Super Giants
94,2022.0,1304067,Sunrisers Hyderabad v Gujarat Titans,SRH v GT,SRH,GT,Kane Williamson,Hardik Pandya,"Dr DY Patil Sports Academy, Navi Mumbai",Sunrisers Hyderabad , Gujarat Titans
95,2022.0,1304068,Chennai Super Kings v Royal Challengers Bangalore,CSK v RCB,CSK,RCB,Ravindra Jadeja,Faf du Plessis,"Dr DY Patil Sports Academy, Navi Mumbai",Chennai Super Kings , Royal Challengers Bangalore
96,2022.0,1304069,Mumbai Indians v Punjab Kings,MI v PBKS,MI,PBKS,Rohit Sharma,Mayank Agarwal,"Maharashtra Cricket Association Stadium, Pune",Mumbai Indians , Punjab Kings
97,2022.0,1304070,Rajasthan Royals v Gujarat Titans,RR v GT,RR,GT,Sanju Samson,Hardik Pandya,"Dr DY Patil Sports Academy, Navi Mumbai",Rajasthan Royals , Gujarat Titans
98,2022.0,1304071,Sunrisers Hyderabad v Kolkata Knight Riders,SRH v KKR,SRH,KKR,Kane Williamson,Shreyas Iyer,"Brabourne Stadium, Mumbai",Sunrisers Hyderabad , Kolkata Knight Riders
99,2022.0,1304072,Mumbai Indians v Lucknow Super Giants,MI v LSG,MI,LSG,Rohit Sharma,KL Rahul,"Brabourne Stadium, Mumbai",Mumbai Indians , Lucknow Super Giants
100,2022.0,1304073,Delhi Capitals v Royal Challengers Bangalore,DC v RCB,DC,RCB,Rishabh Pant,Faf du Plessis,"Wankhede Stadium, Mumbai",Delhi Capitals , Royal Challengers Bangalore
101,2022.0,1304074,Punjab Kings v Sunrisers Hyderabad,PBKS v SRH,PBKS,SRH,Shikhar Dhawan,Kane Williamson,"Dr DY Patil Sports Academy, Navi Mumbai",Punjab Kings , Sunrisers Hyderabad
102,2022.0,1304075,Gujarat Titans v Chennai Super Kings,GT v CSK,GT,CSK,Rashid Khan,Ravindra Jadeja,"Maharashtra Cricket Association Stadium, Pune",Gujarat Titans , Chennai Super Kings
103,2022.0,1304076,Rajasthan Royals v Kolkata Knight Riders,RR v KKR,RR,KKR,Sanju Samson,Shreyas Iyer,"Brabourne Stadium, Mumbai",Rajasthan Royals , Kolkata Knight Riders
104,2022.0,1304077,Lucknow Super Giants v Royal Challengers Bangalore,LSG v RCB,LSG,RCB,KL Rahul,Faf du Plessis,"Dr DY Patil Sports Academy, Navi Mumbai",Lucknow Super Giants , Royal Challengers Bangalore
105,2022.0,1304078,Delhi Capitals v Punjab Kings,DC v PBKS,DC,PBKS,Rishabh Pant,Mayank Agarwal,"Brabourne Stadium, Mumbai",Delhi Capitals , Punjab Kings
106,2022.0,1304079,Mumbai Indians v Chennai Super Kings,MI v CSK,MI,CSK,Rohit Sharma,Ravindra Jadeja,"Dr DY Patil Sports Academy, Navi Mumbai",Mumbai Indians , Chennai Super Kings
